Date,Time,Open,High,Low,Close,Volume
2012.08.27,00:00,10006,10018,9994,10017,3386
2012.08.28,00:00,10018,10027,9982,9990,3950
2012.08.29,00:00,9991,10013,9982,10011,3533
2012.08.30,00:00,10011,10036,9992,10030,3692
2012.08.31,00:00,10029,10031,9965,9986,4235
2012.09.02,00:00,9986,10000,9986,9999,356
2012.09.03,00:00,10000,10010,9990,10004,3150
2012.09.04,00:00,10003,10030,9984,10029,4142
2012.09.05,00:00,10029,10046,10001,10012,4380
2012.09.06,00:00,10013,10028,9987,9995,4507
2012.09.07,00:00,9994,9997,9892,9898,4159
2012.09.09,00:00,9900,9912,9899,9911,347
2012.09.10,00:00,9911,9930,9905,9927,3671
2012.09.11,00:00,9926,9928,9847,9858,4248
2012.09.12,00:00,9858,9863,9818,9837,4678
2012.09.13,00:00,9837,9845,9771,9788,4801
2012.09.14,00:00,9788,9789,9740,9772,4788
2012.09.16,00:00,9767,9780,9764,9778,385
2012.09.17,00:00,9777,9811,9764,9802,4249
2012.09.18,00:00,9801,9831,9793,9821,4557
2012.09.19,00:00,9822,9845,9797,9805,4868
2012.09.20,00:00,9804,9855,9803,9825,5039
2012.09.21,00:00,9825,9829,9778,9814,4662
2012.09.23,00:00,9814,9822,9807,9821,375
2012.09.24,00:00,9821,9850,9818,9822,4231
2012.09.25,00:00,9823,9848,9797,9845,4775
2012.09.26,00:00,9845,9875,9838,9848,4565
2012.09.27,00:00,9848,9851,9805,9814,4781
2012.09.28,00:00,9814,9874,9792,9861,4744
2012.09.30,00:00,9865,9887,9865,9883,447
2012.10.01,00:00,9884,9891,9843,9868,4603
2012.10.02,00:00,9868,9898,9855,9895,4669
2012.10.03,00:00,9896,9931,9894,9911,4386
2012.10.04,00:00,9912,9929,9861,9881,4786
2012.10.05,00:00,9880,9917,9863,9904,4158
2012.10.07,00:00,9907,9916,9906,9911,352
2012.10.08,00:00,9912,9927,9905,9912,4052
2012.10.09,00:00,9912,9947,9902,9944,4557
2012.10.10,00:00,9943,9949,9912,9928,4608
2012.10.11,00:00,9928,9932,9898,9911,4440
2012.10.12,00:00,9911,9913,9889,9908,3976
2012.10.14,00:00,9899,9920,9899,9919,297
2012.10.15,00:00,9918,9934,9908,9909,4305
2012.10.16,00:00,9910,9920,9864,9868,4269
2012.10.17,00:00,9868,9870,9832,9854,4372
2012.10.18,00:00,9855,9889,9844,9885,4594
2012.10.19,00:00,9884,9915,9882,9908,3935
2012.10.21,00:00,9911,9920,9909,9917,302
2012.10.22,00:00,9918,9934,9907,9921,4019
2012.10.23,00:00,9921,9977,9920,9962,4244
2012.10.24,00:00,9961,9962,9922,9932,4362
2012.10.25,00:00,9933,9941,9901,9933,4497
2012.10.26,00:00,9933,9943,9899,9912,4438
2012.10.28,00:00,9907,9927,9907,9923,334
2012.10.29,00:00,9922,9952,9918,9945,2988
2012.10.30,00:00,9943,9951,9901,9916,3418
2012.10.31,00:00,9915,9921,9891,9909,3886
2012.11.01,00:00,9910,9926,9901,9914,3820
2012.11.02,00:00,9915,9982,9914,9979,3864
2012.11.04,00:00,9981,9983,9977,9982,161
2012.11.05,00:00,9982,9991,9963,9971,3647
2012.11.06,00:00,9972,9982,9953,9962,3927
2012.11.07,00:00,9961,9976,9923,9969,5425
2012.11.08,00:00,9970,9982,9944,9958,4813
2012.11.09,00:00,9957,9981,9935,9978,4487
2012.11.11,00:00,9973,9978,9969,9975,378
2012.11.12,00:00,9976,9978,9961,9978,5743
2012.11.13,00:00,9978,9986,9963,9968,7997
2012.11.14,00:00,9968,10014,9962,10013,8128
2012.11.15,00:00,10013,10060,10003,10035,8388
2012.11.16,00:00,10034,10071,10028,10044,7694
2012.11.18,00:00,10042,10044,10033,10041,562
2012.11.19,00:00,10041,10043,10001,10025,7154
2012.11.20,00:00,10024,10037,10004,10026,7507
2012.11.21,00:00,10026,10059,10026,10035,7978
2012.11.22,00:00,10036,10050,10027,10033,6331
2012.11.23,00:00,10033,10035,9970,9979,6216
2012.11.25,00:00,9980,9989,9977,9987,445
2012.11.26,00:00,9987,9991,9959,9959,6871
2012.11.27,00:00,9959,9993,9955,9984,7578
2012.11.28,00:00,9984,9999,9968,9977,7931
2012.11.29,00:00,9978,9989,9962,9980,7187
2012.11.30,00:00,9980,10009,9973,9983,6986
2012.12.02,00:00,9986,9991,9984,9989,447
2012.12.03,00:00,9988,9993,9951,9953,6539
2012.12.04,00:00,9953,9961,9917,9926,7250
2012.12.05,00:00,9926,9959,9920,9957,7133
2012.12.06,00:00,9957,9980,9935,9979,7039
2012.12.07,00:00,9978,10013,9973,9984,6544
2012.12.09,00:00,9991,9998,9989,9992,516
2012.12.10,00:00,9992,9997,9961,9974,5661
2012.12.11,00:00,9974,9981,9942,9945,6040
2012.12.12,00:00,9945,9960,9923,9950,6915
2012.12.13,00:00,9950,9975,9947,9968,6652
2012.12.14,00:00,9968,9977,9922,9930,6583
2012.12.16,00:00,9954,9954,9939,9950,1051
2012.12.17,00:00,9950,9957,9931,9942,6432
2012.12.18,00:00,9942,9948,9920,9941,6122
2012.12.19,00:00,9941,9953,9921,9951,6868
2012.12.20,00:00,9950,9957,9924,9947,7197
2012.12.21,00:00,9947,9993,9947,9986,7716
2012.12.23,00:00,9993,9998,9990,9998,459
2012.12.24,00:00,9999,10025,9978,10022,3796
2012.12.26,00:00,10032,10043,10010,10036,4878
2012.12.27,00:00,10036,10063,10012,10055,7561
2012.12.28,00:00,10056,10065,10035,10037,6388
2012.12.30,00:00,10028,10035,10021,10032,586
2012.12.31,00:00,10032,10056,10024,10036,4662
2013.01.02,00:00,10010,10043,10000,10036,7625
2013.01.03,00:00,10036,10117,10032,10116,7776
2013.01.04,00:00,10115,10158,10105,10112,8115
2013.01.06,00:00,10108,10115,10105,10111,607
2013.01.07,00:00,10110,10126,10060,10063,7959
2013.01.08,00:00,10063,10098,10063,10071,8071
2013.01.09,00:00,10071,10120,10069,10118,7998
2013.01.10,00:00,10117,10124,10032,10065,9912
2013.01.11,00:00,10064,10075,10039,10062,8590
2013.01.13,00:00,10058,10075,10058,10071,813
2013.01.14,00:00,10070,10077,10049,10067,7857
2013.01.15,00:00,10066,10075,10044,10061,10052
2013.01.16,00:00,10060,10080,10046,10080,9761
2013.01.17,00:00,10080,10107,10072,10097,9967
2013.01.18,00:00,10097,10150,10093,10139,9142
2013.01.20,00:00,10145,10150,10140,10147,536
2013.01.21,00:00,10146,10147,10117,10135,6642
2013.01.22,00:00,10134,10142,10081,10095,10558
2013.01.23,00:00,10094,10113,10075,10104,8594
2013.01.24,00:00,10105,10175,10102,10173,9966
2013.01.25,00:00,10172,10177,10151,10165,8760
2013.01.27,00:00,10175,10181,10171,10180,635
2013.01.28,00:00,10179,10198,10170,10174,7819
2013.01.29,00:00,10174,10185,10147,10157,8150
2013.01.30,00:00,10158,10174,10141,10151,8621
2013.01.31,00:00,10150,10160,10133,10145,8258
2013.02.01,00:00,10144,10199,10139,10196,9215
2013.02.03,00:00,10192,10195,10187,10192,589
2013.02.04,00:00,10192,10213,10186,10190,8153
2013.02.05,00:00,10190,10249,10189,10237,9622
2013.02.06,00:00,10237,10279,10236,10263,8978
2013.02.07,00:00,10263,10296,10245,10296,9913
2013.02.08,00:00,10296,10300,10232,10250,8955
2013.02.10,00:00,10253,10256,10245,10249,703
2013.02.11,00:00,10249,10325,10247,10318,8075
2013.02.12,00:00,10319,10343,10263,10267,9688
2013.02.13,00:00,10267,10297,10249,10285,8717
2013.02.14,00:00,10284,10324,10280,10305,8976
2013.02.15,00:00,10304,10333,10273,10319,9450
2013.02.17,00:00,10334,10343,10332,10340,680
2013.02.18,00:00,10340,10355,10327,10330,6411
2013.02.19,00:00,10330,10340,10311,10324,7611
2013.02.20,00:00,10324,10412,10300,10403,9485
2013.02.21,00:00,10402,10421,10383,10389,10262
2013.02.22,00:00,10388,10402,10371,10401,8371
2013.02.24,00:00,10438,10440,10435,10439,354
2013.02.25,00:00,10439,10443,10365,10415,13232
2013.02.26,00:00,10415,10429,10391,10423,13186
2013.02.27,00:00,10424,10432,10395,10407,11517
2013.02.28,00:00,10406,10440,10391,10434,9666
2013.03.01,00:00,10434,10504,10419,10488,9263
2013.03.03,00:00,10486,10493,10485,10491,595
2013.03.04,00:00,10492,10519,10466,10467,8150
2013.03.05,00:00,10468,10473,10434,10446,8591
2013.03.06,00:00,10445,10510,10427,10504,8369
2013.03.07,00:00,10503,10513,10462,10488,9511
2013.03.08,00:00,10487,10575,10487,10560,8943
2013.03.10,00:00,10562,10576,10561,10572,717
2013.03.11,00:00,10572,10573,10541,10558,6913
2013.03.12,00:00,10558,10563,10523,10529,8638
