Date,Time,Open,High,Low,Close,Volume
2019.04.15,00:00,1013064,1013064,1013064,1013064,1
2019.05.20,00:00,9892,9927,9882,9904,7007
2019.05.21,00:00,9903,9924,9839,9871,11127
2019.05.22,00:00,9871,9905,9856,9898,9922
2019.05.23,00:00,9898,9980,9897,9963,12380
2019.05.24,00:00,9962,9978,9935,9965,10469
2019.05.27,00:00,9950,9963,9932,9952,3311
2019.05.28,00:00,9951,9990,9943,9984,5684
2019.05.29,00:00,9983,10020,9971,9979,6615
2019.05.30,00:00,9980,9994,9950,9979,5512
2019.05.31,00:00,9978,10087,9978,10085,8475
2019.06.03,00:00,10084,10098,10053,10065,7111
2019.06.04,00:00,10064,10088,10032,10040,6480
2019.06.05,00:00,10039,10052,10005,10028,6380
2019.06.06,00:00,10027,10066,9998,10010,6711
2019.06.07,00:00,10011,10027,9987,9994,5931
2019.06.10,00:00,9958,10000,9958,9993,4646
2019.06.11,00:00,9992,9999,9959,9980,5040
2019.06.12,00:00,9980,10014,9974,10012,5309
2019.06.13,00:00,10010,10044,10006,10027,5212
2019.06.14,00:00,10028,10072,10027,10065,5108
2019.06.17,00:00,10065,10081,10046,10077,3752
2019.06.18,00:00,10077,10124,10066,10074,5722
2019.06.19,00:00,10074,10095,10053,10071,5384
2019.06.20,00:00,10071,10108,10046,10098,7111
2019.06.21,00:00,10096,10115,10060,10078,6178
2019.06.24,00:00,10080,10082,10049,10060,4539
2019.06.25,00:00,10059,10106,10049,10083,6299
2019.06.26,00:00,10081,10092,10007,10014,5736
2019.06.27,00:00,10013,10024,9981,10004,5477
2019.06.28,00:00,10004,10029,9985,9985,5024
2019.07.01,00:00,9952,9988,9928,9984,5409
2019.07.02,00:00,9983,10036,9975,10028,4602
2019.07.03,00:00,10028,10063,10016,10021,4472
2019.07.04,00:00,10020,10034,10017,10020,3216
2019.07.05,00:00,10021,10024,9984,9994,4391
2019.07.08,00:00,9996,10012,9976,9981,3509
2019.07.09,00:00,9980,10007,9967,9997,3792
2019.07.10,00:00,9996,10012,9980,10001,4563
2019.07.11,00:00,10001,10041,9987,9989,4832
2019.07.12,00:00,9989,10023,9977,10014,4181
2019.07.15,00:00,10010,10028,9993,10022,3099
2019.07.16,00:00,10022,10047,10009,10030,4239
2019.07.17,00:00,10030,10048,10022,10047,4150
2019.07.18,00:00,10046,10072,10034,10057,4968
2019.07.19,00:00,10056,10061,10031,10046,5224
2019.07.22,00:00,10046,10054,10022,10053,3993
2019.07.23,00:00,10053,10065,10034,10045,4307
2019.07.24,00:00,10045,10080,10044,10055,4105
2019.07.25,00:00,10054,10074,10018,10028,4973
2019.07.26,00:00,10026,10059,10020,10052,3680
2019.07.29,00:00,10051,10078,10049,10066,3166
2019.07.30,00:00,10066,10114,10054,10097,5105
2019.07.31,00:00,10096,10115,10078,10107,5579
2019.08.01,00:00,10106,10261,10076,10256,7440
2019.08.02,00:00,10256,10337,10242,10316,9542
2019.08.05,00:00,10312,10402,10312,10373,9755
2019.08.06,00:00,10373,10412,10260,10333,10062
2019.08.07,00:00,10332,10425,10331,10358,10057
2019.08.08,00:00,10359,10384,10338,10357,7721
2019.08.09,00:00,10356,10439,10351,10411,7443
2019.08.12,00:00,10410,10474,10406,10447,6148
2019.08.13,00:00,10446,10470,10277,10310,8999
2019.08.14,00:00,10310,10439,10308,10420,9282
2019.08.15,00:00,10420,10435,10324,10392,10811
2019.08.16,00:00,10391,10404,10350,10360,6664
2019.08.19,00:00,10342,10370,10331,10351,5056
2019.08.20,00:00,10351,10397,10346,10372,5340
2019.08.21,00:00,10372,10373,10336,10341,4636
2019.08.22,00:00,10340,10381,10323,10347,5499
2019.08.23,00:00,10346,10449,10331,10424,8017
2019.08.26,00:00,10463,10525,10346,10363,11905
2019.08.27,00:00,10361,10417,10358,10401,7005
2019.08.28,00:00,10400,10432,10380,10390,6264
2019.08.29,00:00,10390,10422,10348,10361,6139
2019.08.30,00:00,10360,10410,10357,10398,5734
2019.09.02,00:00,10415,10445,10402,10427,4718
2019.09.03,00:00,10427,10482,10424,10439,6642
2019.09.04,00:00,10439,10450,10333,10335,5760
2019.09.05,00:00,10335,10344,10239,10269,6708
2019.09.06,00:00,10268,10280,10250,10262,5742
2019.09.09,00:00,10273,10278,10212,10215,4960
2019.09.10,00:00,10214,10227,10183,10185,5527
2019.09.11,00:00,10185,10194,10148,10172,4948
2019.09.12,00:00,10173,10221,10127,10138,7521
2019.09.13,00:00,10138,10144,10115,10117,5549
